City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
53,Zhangye,CN,2020-04-19 05:53:32,38.93,100.45,61.81,16,23,15.55,few clouds,0.0,0.0
54,Lorengau,PG,2020-04-19 05:51:07,-2.02,147.27,84.9,69,10,0.4,light rain,0.28,0.0
55,Cidreira,BR,2020-04-19 05:51:02,-30.18,-50.21,65.95,85,0,12.84,clear sky,0.0,0.0
56,Luanda,AO,2020-04-19 05:50:51,-8.84,13.23,77.0,94,75,3.36,broken clouds,0.0,0.0
57,Arraial Do Cabo,BR,2020-04-19 05:53:33,-22.97,-42.03,73.09,65,99,3.24,overcast clouds,0.0,0.0
58,Tiksi,RU,2020-04-19 05:53:33,71.69,128.87,17.6,89,70,4.76,broken clouds,0.0,0.0
59,San Quintin,MX,2020-04-19 05:53:33,30.48,-115.95,58.73,76,3,14.63,clear sky,0.0,0.0
60,Itoman,JP,2020-04-19 05:53:34,26.12,127.67,77.0,83,75,14.99,broken clouds,0.0,0.0
61,Bredasdorp,ZA,2020-04-19 05:51:01,-34.53,20.04,55.4,66,93,5.82,overcast clouds,0.0,0.0
62,Kutum,SD,2020-04-19 05:53:34,14.2,24.67,75.88,15,43,7.4,scattered clouds,0.0,0.0
63,Bluff,NZ,2020-04-19 05:53:34,-46.6,168.33,48.99,77,100,8.01,light rain,0.33,0.0
64,Sept-Iles,CA,2020-04-19 05:53:36,50.2,-66.38,28.99,74,90,8.05,overcast clouds,0.0,0.0
65,Hermanus,ZA,2020-04-19 05:53:23,-34.42,19.23,63.0,61,93,1.01,overcast clouds,0.0,0.0
66,Ponta Do Sol,PT,2020-04-19 05:50:57,32.67,-17.1,55.99,63,8,8.99,clear sky,0.0,0.0
67,Beloha,MG,2020-04-19 05:51:30,-25.17,45.05,78.8,57,0,13.29,clear sky,0.0,0.0
68,New Norfolk,AU,2020-04-19 05:50:42,-42.78,147.06,57.0,71,89,1.66,overcast clouds,0.0,0.0
69,Mahoba,IN,2020-04-19 05:53:37,25.28,79.87,103.84,8,93,13.82,overcast clouds,0.0,0.0
70,Port Alfred,ZA,2020-04-19 05:53:34,-33.59,26.89,66.99,72,0,3.0,clear sky,0.0,0.0
71,Tautira,PF,2020-04-19 05:53:37,-17.73,-149.15,78.8,83,83,2.24,light rain,1.08,0.0
72,Punta Arenas,CL,2020-04-19 05:48:38,-53.15,-70.92,42.8,75,75,11.41,broken clouds,0.0,0.0
73,Barrow,US,2020-04-19 05:53:37,71.29,-156.79,3.2,84,75,8.05,broken clouds,0.0,0.0
74,Ribeira Grande,PT,2020-04-19 05:53:37,38.52,-28.7,59.58,68,48,22.95,light rain,0.15,0.0
75,Lagoa,PT,2020-04-19 05:53:38,39.05,-27.98,60.19,64,59,21.9,light rain,0.12,0.0
76,Ha Giang,VN,2020-04-19 05:49:48,22.83,104.98,91.33,49,66,5.08,light rain,0.26,0.0
77,Nanortalik,GL,2020-04-19 05:53:38,60.14,-45.24,27.84,92,83,7.05,light snow,0.0,0.26
78,Avera,US,2020-04-19 05:51:05,33.19,-82.53,53.6,71,1,5.21,clear sky,0.0,0.0
79,Cockburn Town,TC,2020-04-19 05:53:38,21.46,-71.14,78.06,80,31,13.11,scattered clouds,0.0,0.0
80,Gambo,CF,2020-04-19 05:53:39,4.65,22.26,75.04,72,80,3.36,broken clouds,0.0,0.0
81,Albino,IT,2020-04-19 05:53:39,45.76,9.8,52.0,81,79,5.82,broken clouds,0.0,0.0
82,Sistranda,NO,2020-04-19 05:53:39,63.73,8.83,41.0,93,75,4.7,broken clouds,0.0,0.0
83,Kjollefjord,NO,2020-04-19 05:53:39,70.95,27.35,38.16,88,99,14.58,light rain,0.2,0.0
84,Butaritari,KI,2020-04-19 05:53:39,3.07,172.79,83.59,79,100,16.87,light rain,0.53,0.0
85,Shakawe,BW,2020-04-19 05:53:39,-18.37,21.85,71.24,45,100,6.31,overcast clouds,0.0,0.0
86,Luorong,CN,2020-04-19 05:53:40,24.41,109.61,84.9,65,100,8.63,light rain,1.24,0.0
